11|1|1|12|21|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
12|1|1|12|21|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
13|1|1|12|21|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
14|1|1|12|21|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
16|1|0|14|БФ|41|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|
17|1|1|14|26|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
18|1|1|14|26|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
19|1|1|14|26+24|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
20|1|1|12|21|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
21|1|1|14|29|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
22|1|1|14|26+24|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
23|1|1|14|26|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
24|1|1|14|26|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
25|1|1|14|26|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
26|1|1|14|26|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
27|1|1|12|21|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
28|1|1|12|21|41|280|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
29|1|1|12|21|41|280|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
30|1|1|11|30+28|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
31|1|1|14|26|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
32|1|1|12|21+28+29|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
33|1|1|11|28|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
34|1|1|12|21|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
35|1|1|11|30+28|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
51|1|0|11|ФП|41|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
52|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
53|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
54|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
55|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
56|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
